Reference, Value, Footprint, Quantity, URL, Price, SolderPoints, PN, Icc, Sum
ANT1 ,ANT_PCB_MONO_2PIN,Radio:ANT_868_IFA_SIMPLEJOY,1,,0,0,,
BAT1 ,BATx3,Installation:18650x3,1,http://www.quartz1.com/price/model.php?akt=9419.16,350,6,,
BLN1 ,BALUN868JOHANSON,Radio:BALUN_JOHANSON868,1,http://onelec.ru/products/0896bm15a0001e-52ab3408-7c12-4b8c-99ab-cc294cdc1e18,,6,0896BM15A0001E,
C1 C12 C13 C15 C16 C19 C20 C22 C25 C26 C27 C29 C30 C32 C34 C36 C41 C42 C43 C44 C45 C5 C9 ,0.1u,Capacitors:CAP_0603,23,,0.5,2,,
C14 C17 C2 C3 ,18pF,Capacitors:CAP_0603,4,,0.5,2,,
C28 C31 ,*,Capacitors:CAP_0402,2,,0.5,2,,
C33 ,100pF,Capacitors:CAP_0402,1,,0,0,,
C37 C38 C39 C40 ,100u,Resistors:RES_1206,4,https://www.terraelectronica.ru/product/877677,13,2,CL31A107MQHNNNE,
C6 ,1000pF,Capacitors:CAP_0603,1,https://www.terraelectronica.ru/catalog.php?ID=1155&search=cl10a106mq8nnnc,2.5,2,CL10A106MQ8NNNC,
C10 C11 C18 C23 C35 C4 C7 ,10u,Capacitors:CAP_0603,7,https://www.terraelectronica.ru/catalog.php?ID=1155&search=cl10a106mq8nnnc,2.5,2,CL10A106MQ8NNNC,
C21 C24 C8 ,1u,Capacitors:CAP_0603,3,,0.5,2,,
D1 D2 D3 D4 D5 ,BAT60,Diodes:SOD323,5,https://www.terraelectronica.ru/product/446448,6,2,BAT60JFILM,
DA1 ,NCP1403,SOT:SOT23-5,1,,28,5,NCP1403SNT1G,
DA2 ,NCP662SQ,SOT:SC82AB,1
DA3 ,LD1117,SOT:SOT223,1,http://onelec.ru/products/ncp1117st50t3g-9f0c534c-f7a1-467d-85f4-f8d65f26f5d3,13,4,NCP1117ST50T3G,
DA4 ,BQ24103,QFN_DFN:RPVQFN-N20,1,,217,21,BQ24103ARHLT,
DA5 DA6 ,AD8211,SOT:SOT23-5,2,,110,5,,
DD1 ,24C08,SO_DIL_TSSOP:SO8_150MIL,1,https://www.terraelectronica.ru/catalog_info.php?CODE=328439,8.5,8,M24C08-WMN6P,1
DD2 ,STM32L476Rx,LQFP_TQFP:LQFP64,1,,290,64,STM32L476RCT6,
DD3 ,CC1101,QFN_DFN:QFN20,1,http://,140,21,,
F1 ,Fuse0R,PCB:FuseShorted,1,,0,0,,
HOLE1 HOLE2 HOLE3 HOLE4 ,HOLE_METALLED,PCB:Hole3_5_out6mm,4,,0,0,,
L1 ,22uH,Inductors:IND_1210_LQH32C,1,,4,2,,
L10 L2 L3 L4 L9 ,BLM15AG102,Inductors:IND_0402,5,,1,2,BLM15AG102SN1,
L5 ,*,Inductors:IND_0402,1,,4,2,,
L6 ,10uH,Inductors:SDR0805,1,https://www.terraelectronica.ru/product/217833,22,2,SDR0805-100ML,
L7 L8 ,22uH,Inductors:SRN5040,2,,15,2,SRN5040-220M,
Logo1 ,Logo,Pictures:Ostranna_12d7_10d1,1,,0,0,,
Q1 ,IRF9310,SO_DIL_TSSOP:SO8_150MIL,1
Q2 Q3 ,IRLML9303,SOT:SOT23-3,2,,,3,,
Q10 Q4 Q6 Q8 ,IRLML6401,SOT:SOT23-3,4,,,3,,
Q11 Q5 Q7 Q9 ,IRLML6244,SOT:SOT23-3,4,,5.5,3,,
R1 R12 R2 R3 R4 R5 R7 ,10k,Resistors:RES_0603,7
R11 ,75k,Resistors:RES_0603,1,,0.5,2,,
R13 R14 R15 R16 R19 R20 R21 R22 R37 R38 R39 ,100R,Resistors:RES_0603,11,,0.5,2,,
R18 R29 R30 R33 R34 R40 R41 R9 ,56k,Resistors:RES_0603,8,,0.5,2,,
R23 R24 ,5k1,Resistors:RES_0603,2,,0.5,2,,
R10 R25 R27 R28 R31 R32 R8 ,100k,Resistors:RES_0603,7,,0.5,2,,
R26 R35 R36 ,0R1,Resistors:RES_1206,3,,0.5,2,,
R17 R6 ,1k,Resistors:RES_0603,2,,0.5,2,,
RP1 RP2 ,REFPOINT,PCB:REF_POINT_2MM,2,,0,0,,
SW1 ,IT-1187A,BtnsSwitches:BTN_4x4_SMD,1,http://www.zip-2002.ru/kommutatsiya/taktovye_knopki/83335/it-1187a_(4x4x4.3)/,4,4,,
TP1 TP2 ,TESTPOINT,PCB:TESTPOINT_1MM,2,,0,0,,
XL1 XL3 ,CONN_4,Connectors:WB-04(MW-4M),2
XL2 ,CONN_6,Connectors:PLS-6,1,,2,6,,
XL4 XL5 ,CONN_5,Connectors:WB-05(MW-5M),2,http://www.brownbear.ru/goods/5149.html,3,5,,
XL6 ,CONN_1,Connectors:PLS-1Rnd,1,,0,0,,
XL7 XL8 ,CONN_2,Connectors:W02_Pitch_2d54,2
XL9 ,WB-08,Connectors:WB-08(MW-8M),1,http://www.zip-2002.ru/razyemy/razyemy_pitaniya_nizkovoltnye/59686/wb-08_(mw-8m)_pitch_2.00mm/,2,,,
XTAL1 ,12MHz,Quartz:03225C4,1,http://www.quartz1.com/price/model.php?akt=3833.12,15,4,,
XTAL2 ,27MHz,Quartz:03225C4,1,,15,4,,
